Serial initialized!
Starting new process at wheel ref = 0
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 0
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
3750023,0.00,0.00,0,-0.03,-0.59
3800023,0.00,0.00,0,-0.00,-0.59
3850023,0.00,0.00,0,0.03,-0.72
3900023,0.00,0.00,0,0.08,-1.09
3950023,0.00,0.00,0,0.14,-1.20
4000023,0.00,0.00,0,0.20,-1.17
4050023,0.00,0.00,0,0.23,-0.36
4100023,0.00,0.00,0,0.23,0.34
4150023,0.09,0.00,0,0.22,-0.64
4200023,-0.09,0.00,0,0.24,-0.13
4250023,0.00,0.00,0,0.22,0.56
4300023,0.00,0.00,0,0.22,-0.12
4350023,0.00,0.00,0,0.22,0.11
4400023,0.00,0.00,0,0.20,0.29
4450023,0.00,0.00,0,0.19,0.31
4500023,0.00,0.00,0,0.16,0.72
4550023,0.00,0.00,0,0.12,0.70
4600023,0.00,0.00,0,0.09,0.45
4650023,0.00,0.00,0,0.09,-0.04
4700023,0.00,0.00,0,0.10,-0.34
4750023,0.00,0.00,0,0.12,-0.57
4800023,0.00,0.00,0,0.16,-0.86
4850023,0.00,0.00,0,0.20,-0.91
4900023,0.00,0.00,0,0.24,-0.70
4950023,0.00,0.00,0,0.25,0.59
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref (keep under 7.5s to match sim max current of 15A): Starting new process at wheel ref = 10
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 10
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,0.22,0.00
50026,0.00,0.00,0,0.22,0.01
100026,0.00,0.00,0,0.22,0.01
150026,0.00,0.00,0,0.22,-0.02
200026,0.00,0.00,0,0.22,0.01
250026,0.00,0.00,0,0.22,0.01
300026,0.00,0.00,0,0.22,-0.01
350026,0.00,0.00,0,0.22,0.00
400026,0.00,0.00,0,0.22,-0.00
450026,0.00,0.00,0,0.22,0.00
500026,0.00,0.00,0,0.22,0.00
550026,0.00,0.00,0,0.22,0.02
600026,0.00,0.00,0,0.22,-0.01
650026,0.00,0.00,0,0.22,0.01
700026,0.00,0.00,0,0.22,-0.00
750026,0.00,0.00,0,0.22,0.02
800026,0.00,0.00,0,0.22,-0.02
850026,0.00,0.00,0,0.22,0.01
900026,0.00,0.00,0,0.22,-0.00
950026,0.00,0.00,0,0.22,-0.00
1000026,0.00,0.90,23,0.22,-0.01
1050026,4.71,0.48,12,0.22,-0.12
1100026,8.03,0.18,4,0.22,0.15
1150026,5.24,0.43,11,0.22,0.01
1200026,4.28,0.52,13,0.22,-0.10
1250026,5.76,0.38,9,0.22,0.02
1300026,6.02,0.36,9,0.22,0.03
1350026,5.15,0.44,11,0.22,-0.00
1400026,5.50,0.41,10,0.22,-0.01
1450026,5.59,0.40,10,0.22,0.01
1500026,5.50,0.41,10,0.22,0.00
1550026,5.50,0.41,10,0.22,-0.01
1600026,5.50,0.41,10,0.22,0.01
1650026,5.32,0.42,10,0.22,0.00
1700026,5.15,0.44,11,0.22,0.00
1750026,5.06,0.44,11,0.22,-0.02
1800026,5.67,0.39,10,0.22,0.00
1850026,5.85,0.37,9,0.22,0.00
1900026,5.15,0.44,11,0.22,0.01
1950026,4.97,0.45,11,0.22,-0.02
2000026,4.97,0.45,11,0.22,-0.00
2050026,5.24,0.43,11,0.22,0.01
2100026,5.67,0.39,10,0.22,-0.02
2150026,5.59,0.40,10,0.22,0.01
2200026,5.24,0.43,11,0.22,-0.00
2250026,5.15,0.44,11,0.22,-0.01
2300026,5.59,0.40,10,0.22,0.00
2350026,5.67,0.39,10,0.22,0.00
2400026,5.59,0.40,10,0.22,-0.00
2450026,5.59,0.40,10,0.22,0.00
2500026,5.41,0.41,10,0.22,0.01
2550026,5.50,0.41,10,0.22,-0.01
2600026,5.59,0.40,10,0.22,0.01
2650026,5.50,0.41,10,0.22,-0.01
2700026,5.50,0.41,10,0.22,-0.00
2750026,5.41,0.41,10,0.22,0.00
2800026,5.32,0.42,10,0.22,-0.00
2850026,5.41,0.41,10,0.22,0.00
2900026,5.50,0.41,10,0.22,-0.00
2950026,5.32,0.42,10,0.22,-0.01
3000026,4.97,0.45,11,0.22,0.01
3050026,5.24,0.43,11,0.22,-0.02
3100026,5.41,0.41,10,0.22,0.03
3150026,5.67,0.39,10,0.22,-0.00
3200026,5.15,0.44,11,0.22,0.00
3250026,4.97,0.45,11,0.22,-0.00
3300026,4.80,0.47,12,0.22,-0.01
3350026,5.59,0.40,10,0.22,-0.01
3400026,5.85,0.37,9,0.22,0.02
3450026,5.41,0.41,10,0.22,-0.01
3500026,5.24,0.43,11,0.22,-0.01
3550026,5.41,0.41,10,0.22,-0.00
3600026,5.67,0.39,10,0.22,0.00
3650026,5.59,0.40,10,0.22,-0.00
3700026,5.59,0.40,10,0.22,0.01
3750026,5.67,0.39,10,0.22,0.01
3800026,5.41,0.41,10,0.22,-0.00
3850026,5.41,0.41,10,0.22,0.01
3900026,5.50,0.41,10,0.22,0.01
3950026,5.41,0.41,10,0.22,0.00
4000026,5.32,0.00,0,0.22,0.00
4050026,2.36,0.00,0,0.22,0.07
4100026,0.00,0.00,0,0.22,-0.08
4150026,0.00,0.00,0,0.22,0.02
4200026,0.00,0.00,0,0.22,0.01
4250026,0.00,0.00,0,0.22,-0.02
4300026,0.00,0.00,0,0.22,0.02
4350026,0.00,0.00,0,0.22,-0.03
4400026,0.00,0.00,0,0.22,0.01
4450026,0.00,0.00,0,0.22,-0.03
4500026,0.00,0.00,0,0.22,0.01
4550026,0.00,0.00,0,0.22,0.01
4600026,0.00,0.00,0,0.22,-0.01
4650026,0.00,0.00,0,0.22,0.02
4700026,0.00,0.00,0,0.22,-0.01
4750026,0.00,0.00,0,0.22,0.01
4800026,0.00,0.00,0,0.22,-0.01
4850026,0.00,0.00,0,0.22,0.01
4900026,0.00,0.00,0,0.22,-0.02
4950026,0.00,0.00,0,0.22,-0.00
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref (keep under 7.5s to match sim max current of 15A): Starting new process at wheel ref = 30
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 30
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,0.22,0.01
50026,0.00,0.00,0,0.22,-0.00
100026,0.00,0.00,0,0.22,-0.01
150026,0.00,0.00,0,0.22,0.02
200026,0.00,0.00,0,0.22,-0.01
250026,0.00,0.00,0,0.22,0.01
300026,0.00,0.00,0,0.22,-0.00
350026,0.00,0.00,0,0.22,-0.00
400026,0.00,0.00,0,0.22,0.01
450026,0.00,0.00,0,0.22,-0.01
500026,0.00,0.00,0,0.22,0.01
550026,0.00,0.00,0,0.22,-0.01
600026,0.00,0.00,0,0.22,0.01
650026,0.00,0.00,0,0.22,-0.00
700026,0.00,0.00,0,0.22,0.01
750026,0.00,0.00,0,0.22,-0.00
800026,0.00,0.00,0,0.22,0.01
850026,0.00,0.00,0,0.22,-0.01
900026,0.00,0.00,0,0.22,0.01
950026,0.00,0.00,0,0.22,-0.00
1000026,0.00,2.70,70,0.22,0.00
1050026,13.44,1.49,38,0.22,-0.26
1100026,24.78,0.47,12,0.23,0.09
1150026,18.06,1.07,28,0.22,0.45
1200026,14.22,1.42,37,0.21,-0.20
1250026,17.98,1.08,28,0.23,-0.09
1300026,19.20,0.97,25,0.22,0.24
1350026,17.45,1.13,29,0.21,-0.07
1400026,16.84,1.18,30,0.22,-0.06
1450026,17.45,1.13,29,0.22,0.08
1500026,17.45,1.13,29,0.22,-0.03
1550026,17.37,1.14,29,0.22,0.02
1600026,17.80,1.10,28,0.22,0.01
1650026,17.63,1.11,29,0.22,0.01
1700026,17.63,1.11,29,0.22,0.01
1750026,17.72,1.11,28,0.22,0.02
1800026,17.54,1.12,29,0.22,-0.00
1850026,17.02,1.17,30,0.22,0.01
1900026,17.54,1.12,29,0.22,-0.01
1950026,17.98,1.08,28,0.22,0.02
2000026,17.63,1.11,29,0.22,0.00
2050026,17.72,1.11,28,0.22,0.00
2100026,17.54,1.12,29,0.22,0.01
2150026,17.28,1.14,29,0.21,-0.00
2200026,17.45,1.13,29,0.22,-0.00
2250026,17.28,1.14,29,0.21,0.00
2300026,17.63,1.11,29,0.21,-0.02
2350026,17.89,1.09,28,0.21,0.02
2400026,17.63,1.11,29,0.21,-0.01
2450026,17.45,1.13,29,0.21,0.00
2500026,17.54,1.12,29,0.21,-0.00
2550026,17.37,1.14,29,0.21,0.02
2600026,17.28,1.14,29,0.21,-0.04
2650026,17.54,1.12,29,0.21,0.02
2700026,17.89,1.09,28,0.21,0.00
2750026,17.63,1.11,29,0.21,-0.00
2800026,17.63,1.11,29,0.21,-0.00
2850026,17.72,1.11,28,0.21,0.01
2900026,17.37,1.14,29,0.22,-0.03
2950026,16.93,1.18,30,0.21,0.02
3000026,17.63,1.11,29,0.22,-0.02
3050026,18.06,1.07,28,0.21,0.03
3100026,17.80,1.10,28,0.21,-0.00
3150026,17.45,1.13,29,0.21,0.00
3200026,17.37,1.14,29,0.21,-0.01
3250026,17.19,1.15,30,0.21,0.01
3300026,17.72,1.11,28,0.21,0.00
3350026,17.54,1.12,29,0.21,0.01
3400026,17.63,1.11,29,0.21,-0.02
3450026,17.80,1.10,28,0.21,0.03
3500026,17.54,1.12,29,0.21,0.01
3550026,17.72,1.11,28,0.21,-0.04
3600026,17.37,1.14,29,0.21,0.03
3650026,17.10,1.16,30,0.21,0.00
3700026,17.37,1.14,29,0.21,-0.02
3750026,17.98,1.08,28,0.21,0.03
3800026,17.80,1.10,28,0.22,-0.01
3850026,17.37,1.14,29,0.22,-0.04
3900026,17.37,1.14,29,0.22,0.01
3950026,17.63,1.11,29,0.22,-0.01
4000026,17.37,0.00,0,0.22,-0.00
4050026,10.30,0.00,0,0.21,0.19
4100026,2.36,0.00,0,0.21,-0.10
4150026,0.00,0.00,0,0.22,-0.09
4200026,0.00,0.00,0,0.22,0.09
4250026,0.00,0.00,0,0.22,-0.05
4300026,0.00,0.00,0,0.22,0.02
4350026,0.00,0.00,0,0.22,0.02
4400026,0.00,0.00,0,0.22,-0.02
4450026,0.00,0.00,0,0.22,0.02
4500026,0.00,0.00,0,0.22,-0.01
4550026,0.00,0.00,0,0.22,0.01
4600026,0.00,0.00,0,0.22,-0.01
4650026,0.00,0.00,0,0.22,0.01
4700026,0.00,0.00,0,0.22,-0.00
4750026,0.00,0.00,0,0.22,-0.00
4800026,0.00,0.00,0,0.22,-0.01
4850026,0.00,0.00,0,0.22,0.01
4900026,0.00,0.00,0,0.22,-0.00
4950026,0.00,0.00,0,0.22,0.00
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref (keep under 7.5s to match sim max current of 15A): Starting new process at wheel ref = -20
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: -20
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
23,0.00,0.00,0,0.22,-0.01
50024,0.00,0.00,0,0.22,0.01
100024,0.00,0.00,0,0.21,-0.01
150024,0.00,0.00,0,0.22,0.01
200024,0.00,0.00,0,0.21,0.01
250024,0.00,0.00,0,0.21,-0.00
300024,0.00,0.00,0,0.21,0.01
350024,0.00,0.00,0,0.21,0.01
400024,0.00,0.00,0,0.21,-0.00
450024,0.00,0.00,0,0.21,0.00
500024,0.00,0.00,0,0.21,0.00
550024,0.00,0.00,0,0.21,0.00
600024,0.00,0.00,0,0.21,0.00
650024,0.00,0.00,0,0.21,0.01
700024,0.00,0.00,0,0.21,0.00
750024,0.00,0.00,0,0.21,-0.00
800024,0.00,0.00,0,0.21,0.01
850024,0.00,0.00,0,0.21,-0.01
900024,0.00,0.00,0,0.21,0.00
950024,0.00,0.00,0,0.21,-0.00
1000024,0.00,-1.80,-46,0.21,0.01
1050024,-8.81,-1.01,-26,0.21,0.19
1100024,-16.32,-0.33,-8,0.21,-0.05
1150024,-11.26,-0.79,-20,0.22,-0.40
1200024,-8.90,-1.00,-26,0.23,0.04
1250024,-11.96,-0.72,-18,0.22,0.24
1300024,-12.13,-0.71,-18,0.21,-0.00
1350024,-10.82,-0.83,-21,0.22,-0.21
1400024,-11.26,-0.79,-20,0.22,0.05
1450024,-11.61,-0.76,-19,0.22,0.15
1500024,-11.52,-0.76,-19,0.21,-0.00
1550024,-11.08,-0.80,-20,0.22,-0.10
1600024,-11.26,-0.79,-20,0.22,0.01
1650024,-11.34,-0.78,-20,0.22,0.05
1700024,-11.17,-0.79,-20,0.22,-0.03
1750024,-11.43,-0.77,-20,0.22,-0.04
1800024,-11.34,-0.78,-20,0.22,0.02
1850024,-11.43,-0.77,-20,0.22,0.03
1900024,-11.52,-0.76,-19,0.22,0.02
1950024,-11.34,-0.78,-20,0.22,-0.00
2000024,-11.34,-0.78,-20,0.22,0.02
2050024,-11.52,-0.76,-19,0.22,0.04
2100024,-11.43,-0.77,-20,0.22,-0.01
2150024,-11.26,-0.79,-20,0.22,0.00
2200024,-11.34,-0.78,-20,0.22,0.01
2250024,-11.52,-0.76,-19,0.22,-0.01
2300024,-11.08,-0.80,-20,0.22,-0.03
2350024,-11.26,-0.79,-20,0.22,0.02
2400024,-11.26,-0.79,-20,0.22,0.02
2450024,-11.43,-0.77,-20,0.22,-0.03
2500024,-11.52,-0.76,-19,0.22,0.01
2550024,-11.34,-0.78,-20,0.22,0.01
2600024,-11.43,-0.77,-20,0.22,0.02
2650024,-11.52,-0.76,-19,0.22,0.01
2700024,-11.34,-0.78,-20,0.22,-0.01
2750024,-11.17,-0.79,-20,0.22,-0.01
2800024,-11.26,-0.79,-20,0.22,-0.01
2850024,-11.43,-0.77,-20,0.22,0.00
2900024,-11.34,-0.78,-20,0.22,-0.02
2950024,-11.43,-0.77,-20,0.22,0.01
3000024,-11.61,-0.76,-19,0.22,0.02
3050024,-11.34,-0.78,-20,0.22,-0.01
3100024,-11.34,-0.78,-20,0.22,0.02
3150024,-11.61,-0.76,-19,0.22,0.03
3200024,-11.34,-0.78,-20,0.22,-0.02
3250024,-11.17,-0.79,-20,0.22,0.01
3300024,-11.43,-0.77,-20,0.22,0.02
3350024,-11.52,-0.76,-19,0.22,-0.00
3400024,-11.08,-0.80,-20,0.22,-0.03
3450024,-11.17,-0.79,-20,0.22,0.01
3500024,-11.34,-0.78,-20,0.22,0.00
3550024,-11.34,-0.78,-20,0.22,-0.02
3600024,-11.61,-0.76,-19,0.22,0.03
3650024,-11.26,-0.79,-20,0.22,0.01
3700024,-11.43,-0.77,-20,0.22,0.01
3750024,-11.52,-0.76,-19,0.22,0.02
3800024,-11.34,-0.78,-20,0.22,-0.01
3850024,-11.34,-0.78,-20,0.22,-0.00
3900024,-11.17,-0.79,-20,0.22,-0.01
3950024,-11.34,-0.78,-20,0.22,0.02
4000024,-11.34,0.00,0,0.22,-0.01
4050024,-6.54,0.00,0,0.22,-0.17
4100024,-1.13,0.00,0,0.23,-0.01
4150024,0.09,0.00,0,0.22,0.22
4200024,0.00,0.00,0,0.22,0.07
4250024,0.00,0.00,0,0.22,-0.12
4300024,0.00,0.00,0,0.22,-0.03
4350024,0.00,0.00,0,0.22,0.08
4400024,0.00,0.00,0,0.22,0.03
4450024,0.00,0.00,0,0.22,-0.07
4500024,0.00,0.00,0,0.22,-0.02
4550024,0.00,0.00,0,0.22,0.06
4600024,0.00,0.00,0,0.22,0.02
4650024,0.00,0.00,0,0.22,-0.03
4700024,0.00,0.00,0,0.22,0.01
4750024,0.00,0.00,0,0.22,0.04
4800024,0.00,0.00,0,0.22,-0.02
4850024,0.00,0.00,0,0.22,-0.03
4900024,0.00,0.00,0,0.22,0.01
4950024,0.00,0.00,0,0.22,0.01
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref (keep under 7.5s to match sim max current of 15A): Starting new process at wheel ref = -10
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: -10
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
24,0.00,0.00,0,0.22,-0.01
50025,0.00,0.00,0,0.22,-0.00
100025,0.00,0.00,0,0.22,0.01
150025,0.00,0.00,0,0.22,0.03
200025,0.00,0.00,0,0.22,0.03
250025,0.00,0.00,0,0.22,-0.01
300025,0.00,0.00,0,0.22,-0.01
350025,0.00,0.00,0,0.22,0.01
400025,0.00,0.00,0,0.22,0.02
450025,0.00,0.00,0,0.22,-0.00
500025,0.00,0.00,0,0.22,-0.00
550025,0.00,0.00,0,0.22,0.02
600025,0.00,0.00,0,0.22,0.01
650025,0.00,0.00,0,0.22,-0.00
700025,0.00,0.00,0,0.22,0.01
750025,0.00,0.00,0,0.21,0.01
800025,0.00,0.00,0,0.21,-0.00
850025,0.00,0.00,0,0.21,0.01
900025,0.00,0.00,0,0.21,0.01
950025,0.00,0.00,0,0.21,0.00
1000025,0.00,-0.90,-23,0.21,-0.00
1050025,-4.63,-0.48,-12,0.21,0.12
1100025,-7.94,-0.19,-4,0.21,0.06
1150025,-4.97,-0.45,-11,0.21,-0.27
1200025,-4.01,-0.54,-14,0.22,-0.01
1250025,-5.85,-0.37,-9,0.21,0.27
1300025,-6.11,-0.35,-9,0.21,-0.03
1350025,-5.06,-0.44,-11,0.22,-0.20
1400025,-5.15,-0.44,-11,0.22,0.06
1450025,-5.50,-0.41,-10,0.21,0.15
1500025,-5.41,-0.41,-10,0.21,-0.06
1550025,-5.32,-0.42,-10,0.22,-0.11
1600025,-5.32,-0.42,-10,0.22,0.05
1650025,-5.06,-0.44,-11,0.21,0.06
1700025,-5.06,-0.44,-11,0.21,-0.03
1750025,-5.41,-0.41,-10,0.22,-0.03
1800025,-5.50,-0.41,-10,0.22,0.02
1850025,-5.32,-0.42,-10,0.21,0.00
1900025,-4.97,-0.45,-11,0.22,-0.03
1950025,-4.71,-0.48,-12,0.22,-0.00
2000025,-5.32,-0.42,-10,0.22,0.03
2050025,-5.59,-0.40,-10,0.21,-0.01
2100025,-5.41,-0.41,-10,0.22,-0.04
2150025,-5.15,-0.44,-11,0.22,0.02
2200025,-5.06,-0.44,-11,0.22,0.01
2250025,-5.24,-0.43,-11,0.22,-0.01
2300025,-5.41,-0.41,-10,0.22,-0.02
2350025,-5.50,-0.41,-10,0.22,0.00
2400025,-5.41,-0.41,-10,0.22,0.00
2450025,-5.24,-0.43,-11,0.22,0.01
2500025,-5.32,-0.42,-10,0.22,0.01
2550025,-5.41,-0.41,-10,0.22,-0.01
2600025,-5.24,-0.43,-11,0.22,0.02
2650025,-5.41,-0.41,-10,0.22,0.02
2700025,-5.50,-0.41,-10,0.22,-0.02
2750025,-5.06,-0.44,-11,0.22,-0.02
2800025,-5.41,-0.41,-10,0.22,0.04
2850025,-5.50,-0.41,-10,0.21,0.00
2900025,-5.41,-0.41,-10,0.22,-0.03
2950025,-4.97,-0.45,-11,0.22,-0.01
3000025,-4.80,-0.47,-12,0.22,0.03
3050025,-5.24,-0.43,-11,0.21,0.03
3100025,-5.59,-0.40,-10,0.21,-0.02
3150025,-5.59,-0.40,-10,0.22,-0.04
3200025,-5.32,-0.42,-10,0.22,0.02
3250025,-4.80,-0.47,-12,0.22,0.02
3300025,-5.24,-0.43,-11,0.22,0.01
3350025,-5.59,-0.40,-10,0.22,0.00
3400025,-5.59,-0.40,-10,0.22,0.00
3450025,-5.32,-0.42,-10,0.22,-0.01
3500025,-5.15,-0.44,-11,0.21,0.02
3550025,-5.24,-0.43,-11,0.21,0.00
3600025,-5.76,-0.38,-9,0.21,0.01
3650025,-5.32,-0.42,-10,0.21,-0.01
3700025,-5.06,-0.44,-11,0.22,0.00
3750025,-5.32,-0.42,-10,0.21,0.03
3800025,-5.32,-0.42,-10,0.21,0.00
3850025,-5.06,-0.44,-11,0.21,-0.03
3900025,-5.50,-0.41,-10,0.22,0.02
3950025,-5.50,-0.41,-10,0.21,-0.01
4000025,-5.32,0.00,0,0.21,-0.00
4050025,-2.62,0.00,0,0.22,-0.09
4100025,-0.09,0.00,0,0.22,-0.02
4150025,0.00,0.00,0,0.22,0.15
4200025,0.00,0.00,0,0.21,0.04
4250025,0.00,0.00,0,0.21,-0.08
4300025,0.00,0.00,0,0.22,-0.02
4350025,0.00,0.00,0,0.22,0.06
4400025,0.00,0.00,0,0.21,0.01
4450025,0.00,0.00,0,0.22,-0.03
4500025,0.00,0.00,0,0.22,0.02
4550025,0.00,0.00,0,0.21,0.03
4600025,0.00,0.00,0,0.21,-0.02
4650025,0.00,0.00,0,0.22,-0.01
4700025,0.00,0.00,0,0.22,0.01
4750025,0.00,0.00,0,0.22,0.01
4800025,0.00,0.00,0,0.22,-0.02
4850025,0.00,0.00,0,0.22,-0.00
4900025,0.00,0.00,0,0.22,0.00
4950025,0.00,0.00,0,0.22,0.00
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Enter a new Wheel Ref (keep under 7.5s to match sim max current of 15A): Starting new process at wheel ref = 80
++++++++++++++++++++++++++++++++++++++++++++++++++++++
Reference Wheel: 80
B_U1: 0
B_E0: 0.09000000
B_E1: 0
Sample Rate [ms]: 50
Step Started [ms]: 1000
Run Time [ms]: 3000
Data format: time_stamp_us,wheel_speed_rad_sec,command_volt,command_pwm,pitch_rad,ang_vel_rad_s
-------------------------------------------------------
24,0.00,0.00,0,0.22,-0.00
50024,0.00,0.00,0,0.22,0.01
100024,0.00,0.00,0,0.22,0.01
150024,0.00,0.00,0,0.22,0.00
200024,0.00,0.00,0,0.22,0.01
250024,0.00,0.00,0,0.22,0.02
300024,0.00,0.00,0,0.22,-0.01
350024,0.00,0.00,0,0.22,-0.01
400024,0.00,0.00,0,0.22,0.02
450024,0.00,0.00,0,0.22,0.04
500024,0.00,0.00,0,0.22,0.05
550024,0.00,0.00,0,0.22,0.02
600024,0.00,0.00,0,0.22,0.00
650024,0.00,0.00,0,0.22,-0.02
700024,0.00,0.00,0,0.22,-0.03
750024,0.00,0.00,0,0.22,0.02
800024,0.00,0.00,0,0.22,0.01
850024,0.00,0.00,0,0.22,0.01
900024,0.00,0.00,0,0.22,0.01
950024,0.00,0.00,0,0.22,-0.01
1000024,0.00,7.20,187,0.22,0.01
1050024,14.57,5.89,153,0.22,-0.50
1100024,41.54,3.46,90,0.24,-0.31
1150024,53.67,2.37,61,0.24,0.04
1200024,49.74,2.72,71,0.21,1.01
1250024,45.55,3.10,80,0.19,0.07
1300024,46.51,3.01,78,0.21,-0.40
1350024,47.47,2.93,76,0.21,0.29
1400024,48.17,2.86,74,0.20,-0.05
1450024,47.21,2.95,77,0.21,-0.09
1500024,47.56,2.92,76,0.20,0.05
1550024,47.82,2.90,75,0.21,-0.25
1600024,47.39,2.94,76,0.21,-0.00
1650024,47.73,2.90,75,0.21,-0.12
1700024,47.82,2.90,75,0.22,-0.14
1750024,47.39,2.94,76,0.21,0.31
1800024,48.00,2.88,75,0.21,-0.10
1850024,47.39,2.94,76,0.21,-0.07
1900024,47.82,2.90,75,0.21,0.10
1950024,47.73,2.90,75,0.20,-0.01
